lng,lat,bioclim1,bioclim12,bioclim15,bioclim4,dist_to_water_m,elev_m,disease,theta
-8.26866,6.59104,256,1784,62,905,1330,260,SM,0.014556081
-6.3045841,4.995417,257,1481,91,907,3763,62,SM,0.277411136
-5.5379174,9.670417,267,1260,85,1411,5076,340,SM,0.017807421
-6.7962507,5.6120837,257,1570,47,872,565,174,SM,0.183003329
-4.1795841,6.120417,270,1329,57,1070,986,63,SM,0.183500254
-6.6379174,10.5620837,269,1095,100,1735,3593,340,SM,0.043225754
-3.9545841,7.145417,266,1111,61,1092,454,206,SM,0.058276345
-5.5962507,5.3370837,260,1542,79,921,1110,87,SM,0.761925663
-7.8629174,7.595417,234,1788,65,941,7924,789,SM,0.082771682
-6.0962507,5.7620837,259,1439,49,870,620,161,SM,0.411944887
-6.3462507,5.7370837,260,1462,48,880,13117,171,SM,0.705226366
-6.8795841,5.8037503,259,1579,48,910,2635,163,SM,0.27606793
-6.8129174,7.5620837,256,1290,61,1026,8188,266,SM,0.077869917
-4.1462507,8.920417,271,1097,70,1341,8582,288,SM,0.051193681
-6.1879174,9.545417,262,1327,87,1379,5114,402,SM,0.006823759
-4.07542,8.52343,271,1088,66,1258,7363,254,SM,0.024526663
-3.98246,5.30199,267,1838,92,1060,670,5,SM,0.012042118
-5.6795841,5.5870837,259,1484,58,904,2908,152,SM,0.408755981
-5.9045841,8.3787503,262,1180,68,1153,9040,341,SM,0.09409975
-6.49441,9.47221,262,1442,86,1377,5513,396,SM,0.007732507
-4.2129174,5.9370837,270,1407,56,1073,1061,40,SM,0.225871723
-5.9212507,7.2370837,266,1242,56,1050,2052,210,SM,0.135350861
-6.3379174,8.4037503,262,1249,69,1103,2978,312,SM,0.042862221
-3.8629174,6.1037503,265,1415,57,1072,5425,109,SM,0.099108997
-3.96013,5.29926,267,1838,92,1060,296,6,SM,0.086123951
-3.8795841,7.370417,265,1091,61,1138,1506,249,SM,0.02400805
-4.7712507,5.8620837,270,1306,58,1031,6565,72,SM,0.842038886
-3.3962507,8.445417,264,1090,64,1320,6800,337,SM,0.023652073
-3.5379174,6.7287503,265,1293,59,1103,2249,183,SM,0.017075562
-7.4629174,8.0037503,242,1432,67,1021,3821,501,SM,0.099672631
-5.13526,10.18133,271,1148,93,1466,1215,304,SM,0.007783619
-7.5212507,8.5287503,252,1366,73,1075,3581,438,SM,0.021721156
-4.2462507,9.6620837,273,1115,80,1456,4395,247,SM,0.070543576
-6.1212507,6.1037503,260,1401,47,865,1434,205,SM,0.292971357
-6.3045841,10.4037503,268,1280,96,1625,5324,339,SM,0.008517129
-6.5629174,7.020417,258,1303,57,1030,5951,251,SM,0.047073671
-6.0584,7.77341,264,1171,62,1074,3510,267,SM,0.028059588
-5.2629174,6.7870837,259,1131,58,1133,4628,232,SM,0.016668831
-4.01525,5.34804,262,1765,86,1074,1848,25,SM,0.033178236
-5.5795841,7.4787503,268,1131,60,1088,3514,249,SM,0.043054971
-4.4795841,8.745417,270,1097,68,1264,1273,289,SM,0.023012054
-4.34641,7.68142,274,1074,63,1107,1282,147,SM,0.991725028
-3.6129174,6.895417,267,1219,60,1090,3708,181,SM,0.018913596
-7.1045841,9.820417,258,1327,88,1506,1636,450,SM,0.027224214
-4.80734,7.22921,267,1068,61,1080,4809,197,SM,0.574602255
-3.7962507,7.5287503,269,1074,61,1168,1345,195,SM,0.029089349
-8.1295841,7.270417,249,1978,67,888,2496,375,SM,0.019396677
-7.7879174,7.3370837,248,1768,66,937,399,341,SM,0.011056837
-4.5962507,8.8787503,265,1105,70,1252,545,336,SM,0.035673176
-4.8962507,7.5787503,269,1088,61,1047,3617,225,SM,0.11325924
-4.0712507,7.2037503,266,1093,61,1091,6234,240,SM,0.066269654
-3.44295,8.5414,268,1081,65,1323,188,269,SM,0.014248902
-5.1795841,10.2037503,270,1142,93,1471,3371,318,SM,0.01396092
-4.6795841,9.2037503,266,1121,74,1313,1757,306,SM,0.024304297
-5.3962507,8.9787503,266,1120,74,1276,2244,340,SM,0.03108404
-3.9879174,5.3537503,262,1790,83,1095,3232,55,SM,0.023890241
-6.0129174,6.7037503,259,1300,51,980,4754,250,SM,0.162909665
-3.9712507,5.8120837,267,1539,57,1108,1514,43,SM,0.073344186
-5.3847,9.2724,267,1189,77,1350,1501,290,SM,0.011030295
-3.4692,6.30455,267,1442,56,1092,1835,131,SM,0.027670499
-5.3629174,5.8120837,263,1464,52,947,2845,151,SM,0.613675402
-7.1962507,7.3287503,253,1455,63,997,11014,267,SM,0.084799144
-5.3795841,7.8787503,271,1079,63,1097,640,234,SM,0.070091082
-7.3295841,5.520417,260,1875,48,871,3553,142,SM,0.12466995
-3.6545841,7.795417,269,1069,60,1201,5709,213,SM,0.020458054
-6.5712507,8.3287503,257,1270,67,1110,2093,375,SM,0.029978546
-6.8795841,6.0620837,259,1535,51,921,5088,189,SM,0.219541481
-3.19111,8.677,262,1103,67,1353,5443,370,SM,0.029631811
-4.0462507,5.3537503,262,1765,86,1074,493,18,SM,0.045446672
-6.6045841,8.1870837,258,1264,66,1102,3401,296,SM,0.023415048
-4.57594,5.66993,265,1465,64,1030,6016,94,SM,0.61594246
-3.4045841,6.120417,267,1521,55,1088,424,116,SM,0.039133587
-7.5045841,9.3120837,257,1465,84,1364,2141,419,SM,0.005566883
-5.0045841,5.4037503,269,1520,81,1017,5377,38,SM,0.366994645
-6.5962507,7.7620837,253,1259,61,1042,5107,328,SM,0.041574723
-7.62223,9.65065,260,1471,89,1509,508,394,SM,0.237026108
-5.9462507,7.6370837,265,1169,61,1074,3970,253,SM,0.124220679
-4.07251,5.33753,262,1765,86,1074,2356,43,SM,0.030959968
-4.9629174,7.7620837,268,1103,60,1067,4388,310,SM,0.088599027
-5.3962507,9.1620837,265,1146,76,1302,4627,339,SM,0.018945096
-6.6629174,7.9537503,257,1249,62,1068,4463,306,SM,0.021117436
-4.5962507,6.1870837,269,1215,55,1040,1947,97,SM,0.601699716
-5.9295841,6.1120837,261,1389,47,898,2297,204,SM,0.368943351
-3.1795841,5.520417,265,1823,59,1086,732,42,SM,0.030329327
-3.9295841,6.795417,267,1176,60,1084,1079,178,SM,0.03703714
-3.36761,7.19607,266,1160,61,1129,3179,224,SM,0.016204761
-3.63003,8.58372,269,1082,66,1319,11048,277,SM,0.031363017
-5.9295841,5.1287503,261,1551,96,895,996,45,SM,0.339519576
-5.9129174,7.4787503,263,1192,59,1111,967,278,SM,0.06640868
-5.8962507,8.8037503,265,1217,74,1215,270,317,SM,0.014700764
-6.1712507,8.295417,259,1236,67,1110,1478,335,SM,0.025581751
-7.4462507,7.295417,251,1587,64,1007,7399,340,SM,0.02983367
-3.9879174,5.345417,262,1790,83,1095,2355,46,SM,0.033031655
-5.07499,10.07056,270,1164,89,1471,1732,310,SM,0.969443965
-4.69847,5.21503,270,1707,97,1045,705,5,SM,0.015879069
-4.8629174,8.6620837,268,1085,68,1220,9279,336,SM,0.127837385
-6.4462507,6.8620837,257,1315,55,996,2984,261,SM,0.055478377
-5.1462507,5.970417,266,1358,52,1011,7548,128,SM,0.859725368
-7.7962507,7.670417,242,1676,67,964,1746,489,SM,0.044557986
-6.8379174,6.020417,259,1535,51,921,4256,195,SM,0.181957868
-7.4629174,4.445417,254,2321,56,801,7227,33,SM,0.290913869
-3.1712507,9.020417,264,1109,70,1413,2317,331,SM,0.083156853
-6.7295841,8.0370837,257,1259,64,1052,952,281,SM,0.028470509
-6.3379174,10.6037503,270,1117,99,1738,6111,338,SM,0.047501798
-6.1295841,7.220417,264,1245,57,1051,2989,225,SM,0.125538234
-5.36413,10.02051,267,1172,91,1486,1562,343,SM,0.013610463
-7.1295841,8.420417,259,1320,71,1092,985,297,SM,0.019678847
-4.0295841,5.420417,260,1726,76,1102,196,100,SM,0.028024962
-3.30049,7.81998,268,1083,60,1246,840,208,SM,0.018379639
-4.3045841,6.3537503,269,1229,58,1052,331,97,SM,0.146094751
-4.0962507,5.4287503,262,1712,77,1108,4777,105,SM,0.04065621
-7.2462507,5.370417,258,1877,46,885,1250,137,SM,0.119200119
-7.1379174,4.720417,258,1855,59,846,2317,48,SM,0.285110079
-4.07119,5.35855,262,1765,86,1074,1636,74,SM,0.021979294
-5.16305,9.30158,262,1160,76,1315,791,400,SM,0.131049103
-4.05419,5.3263,267,1790,94,1055,1030,37,SM,0.009521426
-4.58267,5.6447,266,1514,68,1041,3140,96,SM,0.039552452
-2.9795841,7.695417,265,1118,61,1261,3217,265,SM,0.009703795
-3.6629174,6.795417,266,1248,59,1097,8561,161,SM,0.06079042
-6.5879174,8.645417,260,1311,72,1156,7416,357,SM,0.030426866
-6.6712507,4.7620837,260,1415,80,930,1509,11,SM,0.905178596
-3.7295841,5.2037503,265,1908,87,1065,866,3,SM,0.031907929
-3.0379174,8.920417,265,1096,70,1435,3429,306,SM,0.088795414
-5.2045841,8.5037503,267,1086,69,1174,1134,330,SM,0.072319639
-3.41993,9.87188,273,1105,81,1560,3275,326,SM,0.403546985
-3.3295841,8.2620837,262,1092,62,1314,5178,320,SM,0.016470063
-7.5962507,6.9037503,256,1629,63,980,1164,256,SM,0.028439312
-4.61506,5.2522,267,1683,92,1059,400,17,SM,0.020294732
-6.58718,6.48361,260,1397,52,938,7125,211,SM,0.650127819
-3.9795841,5.3120837,267,1838,92,1060,226,9,SM,0.014812731
-3.7877,7.58323,269,1074,61,1168,2438,203,SM,0.025842586
-3.1129174,8.4037503,258,1115,63,1312,2752,432,SM,0.020917741
-6.8045841,4.7620837,259,1484,75,920,1543,34,SM,0.879276723
-3.23118,7.55483,268,1110,61,1202,6223,220,SM,0.020057744
-6.8129174,9.320417,257,1424,83,1332,1643,507,SM,0.008131722
-3.9443,5.30547,267,1838,92,1060,186,6,SM,0.011461481
-2.98961,9.27065,265,1114,74,1460,10478,312,SM,0.741419898
-4.0545841,5.6787503,264,1597,58,1103,2694,68,SM,0.052034841
-5.9379174,8.8870837,264,1248,75,1247,3832,360,SM,0.01253956
-7.84724,9.70243,259,1492,91,1498,989,430,SM,0.010113229
-4.9962507,6.7120837,268,1079,57,1084,4172,183,SM,0.18194834
-4.1295841,9.020417,271,1098,71,1346,1145,253,SM,0.022703995
-8.2045841,6.920417,256,1876,64,888,11805,261,SM,0.069456244
-3.98386,5.30177,267,1838,92,1060,806,6,SM,0.012170829
