"lng","lat","bioclim1","bioclim12","bioclim15","bioclim4","dist_to_water_m","elev_m","disease","theta"
-72.4251717,19.6302967,234,1725,39,1187,750,160,"LF",0.00682385526475185
-72.3688233,19.702095,252,1844,33,1396,2303,53,"LF",0.0114592167875181
-72.8629171,18.4287503,261,1295,50,1218,5810,26,"LF",0.0164492946393936
-72.403375,19.5803633,215,1717,41,1210,1246,503,"LF",0.00332316744760072
-72.2879171,19.2537503,243,1175,59,1028,960,344,"LF",0.00942623413508749
-72.4123983,19.6989667,252,1844,33,1396,1635,54,"LF",0.0147225905602794
-72.4176667,19.6793033,242,1810,33,1293,654,113,"LF",0.010516508775248
-72.4163675,19.5791373,215,1717,41,1210,712,350,"LF",0.00439995151086891
-72.2212505,19.3537503,240,1390,53,1169,4633,374,"LF",0.00519967321324351
-72.3588467,19.7026167,252,1844,33,1396,3338,86,"LF",0.00962944074193818
-72.4462505,18.7620836,258,1193,58,1140,2010,37,"LF",0.00791038723822973
-72.4220217,19.711875,242,1810,33,1293,3096,68,"LF",0.00350931612212198
-72.4102468,19.7085269,252,1844,33,1396,1882,51,"LF",0.0127054726208226
-72.2795838,18.5620836,256,1319,55,1180,4148,76,"LF",0.00802254033129758
-72.4477417,19.617875,234,1725,39,1187,1997,450,"LF",0.00307984016943223
-72.3963767,19.706,252,1844,33,1396,618,31,"LF",0.0255000459129596
-72.4879171,19.6037503,234,1725,39,1187,909,344,"LF",0.00500609723473721
-72.4070752,19.7062971,252,1844,33,1396,1617,33,"LF",0.014520429587075
-73.0712505,18.8287503,243,1189,57,1099,3493,259,"LF",0.00369702527405988
-72.3462505,18.520417,258,1387,52,1185,3360,179,"LF",0.00653936148033333
-72.4232133,19.6260267,234,1725,39,1187,805,259,"LF",0.00669982991779812
-72.3129171,18.570417,256,1319,55,1180,3926,28,"LF",0.00965655598624945
-72.0545838,18.7120836,230,1614,54,1202,5319,1083,"LF",0.00247239522029139
-72.4270617,19.636685,234,1725,39,1187,1099,219,"LF",0.00575728458250367
-72.6379171,18.5037503,264,1342,49,1219,394,16,"LF",0.0154986943891414
-72.4066486,19.6970362,252,1844,33,1396,1088,40,"LF",0.0217234218939215
-72.409675,19.58296,215,1717,41,1210,526,350,"LF",0.00434548328361364
-72.4056019,19.7061335,252,1844,33,1396,1478,33,"LF",0.0161936281998067
-72.4037783,19.6978533,252,1844,33,1396,1052,40,"LF",0.0221133349499652
-72.4350978,19.591978,234,1725,39,1187,956,305,"LF",0.00627093621344882
-72.4056903,19.7044562,252,1844,33,1396,1432,33,"LF",0.0168621288523104
-72.1212505,19.670417,254,1316,38,1451,1730,20,"LF",0.0140788350673244
-72.422511,19.7127031,242,1810,33,1293,3151,68,"LF",0.0034747193542448
-72.6212505,19.5287503,251,1065,56,1155,294,100,"LF",0.0345271364655321
-72.3295838,18.6037503,266,1050,57,1188,1396,8,"LF",0.0142959507247766
-72.3535141,19.6977332,252,1844,33,1396,3968,94,"LF",0.00853174697496447
-72.4172717,19.7097883,242,1810,33,1293,2601,68,"LF",0.00373786098101676
-72.4212505,18.545417,253,1481,51,1188,1492,16,"LF",0.0234372555388049
-72.4795838,18.3370836,232,1712,52,1197,1240,197,"LF",0.0061048930754998
-72.3484525,19.6743515,252,1844,33,1396,4085,147,"LF",0.00822739634728782
-72.3129171,18.4537503,190,1853,58,1210,1983,1479,"LF",0.00281932656944443
-73.3879171,18.470417,254,1324,46,1212,5781,69,"LF",0.00874583013543761
-72.3813048,19.6629354,239,1746,34,1270,2115,87,"LF",0.00263085999892967
-72.4021462,19.711257,252,1844,33,1396,1011,27,"LF",0.275617970423411
-72.3379171,18.5620836,258,1387,52,1185,5665,11,"LF",0.00805288776461771
-72.5629171,19.520417,233,1453,51,1082,1427,206,"LF",0.00572062371277537
-73.0129171,19.7370836,252,1183,40,1054,1353,185,"LF",0.0147004702222876
-72.4004533,19.702475,252,1844,33,1396,849,33,"LF",0.0240427502753311
-72.4174067,19.6782217,242,1810,33,1293,590,113,"LF",0.0104635123252622
-72.4148867,19.7086667,252,1844,33,1396,2362,51,"LF",0.010846043800552
-72.4129171,19.3120836,238,1164,64,985,3797,425,"LF",0.000931793536279637
-72.373525,19.703065,252,1844,33,1396,1801,53,"LF",0.0137176907330887
-72.4271533,19.6300033,234,1725,39,1187,960,160,"LF",0.00619161397874725
-72.4056695,19.7000869,252,1844,33,1396,1267,33,"LF",0.019334576843625
-72.4063613,19.6972997,252,1844,33,1396,1098,40,"LF",0.0216126954141931
-71.9379171,19.5787503,248,1594,40,1294,4574,74,"LF",0.0160203687108093
-72.420275,19.67413,242,1810,33,1293,927,87,"LF",0.0098429055241173
-72.2462505,18.5870836,263,989,60,1191,432,53,"LF",0.0221095153344563
-72.2629171,19.2037503,235,1335,61,1058,3698,364,"LF",0.00172092584414301
-72.4064233,19.5807183,215,1717,41,1210,946,503,"LF",0.00398400570185158
-72.411735,19.690755,252,1844,33,1396,985,51,"LF",0.0243193855427248
-72.4004533,19.702475,252,1844,33,1396,849,33,"LF",0.0240427502753311
-71.7295838,19.5537503,262,1222,49,1371,1008,32,"LF",0.0210256119359226
-72.4059703,19.7043308,252,1844,33,1396,1451,33,"LF",0.0165808573792566
-72.4355417,19.6126533,234,1725,39,1187,683,213,"LF",0.00687493245521407
-72.4166067,19.680435,252,1844,33,1396,623,50,"LF",0.0283181225221704
-72.3462505,18.5287503,258,1387,52,1185,4251,54,"LF",0.0128707177599496
-72.4419117,19.6122267,234,1725,39,1187,1350,372,"LF",0.0047614289078958
-72.5795838,18.320417,256,1480,49,1162,2908,498,"LF",0.00504717415652614
-73.0629171,18.320417,244,1507,50,1139,453,258,"LF",0.0470097648814943
-72.3620517,19.702355,252,1844,33,1396,3005,86,"LF",0.010227846962367
-72.4129867,19.6993683,252,1844,33,1396,1711,54,"LF",0.0140690010047627
