lng,lat,bioclim1,bioclim12,bioclim15,bioclim4,dist_to_water_m,elev_m,disease,theta
33.7620824,-11.6045829,176,979,104,2171,1022,1502,SM,0.046531024
33.7954158,-13.9795829,201,859,115,2567,424,1033,SM,0.223110323
35.0870824,-14.8295829,233,937,111,2372,1565,635,SM,0.034288344
33.6537491,-11.7212496,195,904,109,2091,475,1438,SM,0.001661532
33.6870824,-13.0295829,202,897,119,2235,683,1166,SM,0.046946234
34.1787491,-13.7545829,220,909,123,2497,1431,836,SM,0.600307964
33.4787491,-9.8379163,204,1250,93,1870,244,1213,SM,0.009890363
33.443675,-14.157055,203,916,109,2493,1107,1161,SM,0.009877267
33.6620824,-14.0712496,203,894,111,2498,3456,1130,SM,0.014344786
35.114575,-15.591455,210,1101,103,2286,3233,935,SM,0.014156731
35.1454158,-15.8129162,203,1209,96,2221,3986,945,SM,0.041336193
33.8704158,-11.3629163,196,996,91,2620,1879,1204,SM,0.039643885
33.0454158,-13.8212496,216,965,112,2368,53,1131,SM,0.02597858
33.3037491,-13.1462496,211,805,120,2300,1732,1087,SM,0.112363193
35.4370824,-14.4962496,209,1067,111,2011,800,865,SM,0.063658856
33.4954158,-13.0295829,207,819,122,2287,3454,1046,SM,0.105153594
35.3370824,-16.0712496,218,1609,77,2587,1505,653,SM,0.023932006
34.7287491,-15.5129162,245,918,100,2625,1196,342,SM,0.041878839
33.7620824,-11.5045829,187,959,101,2341,542,1299,SM,0.196691876
33.5620824,-10.1129163,195,1221,95,1977,415,1378,SM,0.014820442
35.3620824,-14.5795829,239,903,112,2368,159,510,SM,0.015558449
33.81882,-13.30751,199,887,121,2231,3583,1198,SM,0.371039581
35.3704158,-15.8212496,218,1482,84,2491,1374,720,SM,0.041814833
33.44038,-11.938355,202,910,114,2126,2988,1238,SM,0.003503701
34.8120824,-14.6462496,231,898,117,2306,1515,624,SM,0.078757582
35.4787491,-15.4295829,222,1309,95,2411,446,677,SM,0.195775938
35.6037491,-16.0879162,219,1717,75,2611,2845,638,SM,0.016508483
34.5204158,-14.2712496,234,906,122,2266,359,543,SM,0.093910199
34.5454158,-15.5462496,234,1022,98,2431,1136,593,SM,0.039225131
34.1620824,-13.6462496,216,890,123,2448,1174,747,SM,0.342505757
34.9787491,-16.5212496,262,887,97,2777,2599,84,SM,0.019960218
33.6954158,-9.8795829,227,1491,89,1788,1087,891,SM,0.134585235
33.5704158,-12.4962496,194,945,114,2190,2274,1253,SM,0.025660787
33.1370824,-13.6962496,216,927,113,2341,766,1100,SM,0.031844747
33.4704158,-14.0212496,202,917,110,2456,4148,1236,SM,0.003838441
33.7787491,-13.9962496,201,859,115,2567,739,1061,SM,0.170936752
33.79346,-14.018825,198,873,113,2592,3163,1086,SM,0.020977586
35.3954158,-16.0212496,218,1609,77,2587,7844,691,SM,0.040001937
33.5537491,-10.9879163,203,811,111,2461,651,1231,SM,0.004519865
35.0787491,-15.7295829,215,1037,102,2323,4373,1092,SM,0.07360595
35.1704158,-16.4212496,254,874,93,2888,5375,90,SM,0.007938978
35.2037491,-15.4629162,207,1162,105,2243,2355,1144,SM,0.027718538
35.1204158,-14.3045829,245,860,121,2251,341,481,SM,0.068767802
34.0204158,-13.2295829,214,994,118,2264,3789,951,SM,0.558142077
33.9454158,-14.1295829,190,893,111,2539,5575,1187,SM,0.276794356
33.7287491,-14.0129162,202,880,112,2540,1082,1086,SM,0.176533154
33.4787491,-12.7712496,207,886,118,2306,1008,1055,SM,0.115106066
33.9204158,-13.3462496,189,933,118,2201,1871,1376,SM,0.085993304
34.39987,-15.726985,234,1006,97,2423,1716,638,SM,0.017524477
33.9620824,-11.3629163,187,1072,88,2694,1572,1303,SM,0.034293913
34.6787491,-15.6962496,249,875,99,2740,4265,346,SM,0.024385374
34.4704158,-13.9212496,238,992,122,2267,954,510,SM,0.153592836
34.7537491,-15.0212496,223,1005,109,2334,1677,875,SM,0.046194119
35.0787491,-15.7379162,215,1037,102,2323,5049,1018,SM,0.123958707
35.3454158,-15.9545829,217,1611,79,2550,741,686,SM,0.033762574
34.9870824,-15.1879162,236,977,106,2491,28,537,SM,0.039452428
35.01021,-15.821415,201,1154,98,2112,1194,1050,SM,0.160976808
33.6620824,-14.1379162,201,902,110,2533,2294,1139,SM,0.023086287
34.9370824,-15.9129162,214,1061,97,2403,4273,875,SM,0.055485156
35.6704158,-14.7629162,232,1087,109,2136,311,757,SM,0.081910224
33.7204158,-14.0212496,202,880,112,2540,1467,1077,SM,0.289031154
35.0037491,-15.7295829,215,1037,102,2323,5330,881,SM,0.090108356
33.3954158,-13.3545829,212,812,120,2298,1754,1052,SM,0.143528571
34.02225,-11.47508,182,1219,83,2722,163,1222,SM,0.022831691
33.7370824,-13.8879162,202,865,114,2441,638,1109,SM,0.131927282
33.56598,-11.58729,201,873,111,2213,2785,1326,SM,0.000453491
35.7954158,-15.8712496,223,1750,78,2224,5772,704,SM,0.010071304
34.8120824,-14.2379162,245,903,127,2119,300,477,SM,0.102692233
33.9954158,-13.3295829,199,928,118,2229,1273,1146,SM,0.165792133
33.8204158,-13.7629162,195,861,117,2335,948,1234,SM,0.072048274
34.0787491,-11.0045829,182,1111,95,2340,1905,1619,SM,0.045430014
33.5370824,-13.3129162,208,824,122,2278,218,1044,SM,0.138309497
34.5204158,-13.9212496,243,1012,122,2191,2484,484,SM,0.140110469
33.7454158,-14.2295829,198,905,110,2575,2984,1177,SM,0.014178229
35.0370824,-15.7712496,201,1154,98,2112,3330,1117,SM,0.059956741
35.0704158,-15.7629162,201,1154,98,2112,4998,1121,SM,0.109732854
33.80223,-14.023365,198,873,113,2592,4234,1102,SM,0.291611347
35.1204158,-15.9129162,204,1247,92,2309,3498,1046,SM,0.025472214
33.6582,-14.26648,199,930,109,2573,5100,1176,SM,0.245684031
33.6787491,-9.9629163,230,1368,91,1816,323,873,SM,0.193423891
33.7704158,-13.7212496,193,874,118,2277,1531,1270,SM,0.076559958
35.0620824,-15.5795829,229,999,101,2454,1142,682,SM,0.202545263
33.6120824,-10.2462496,191,1242,94,1998,3388,1364,SM,0.032581821
35.5204158,-15.7629162,219,1651,81,2434,4476,712,SM,0.0189841
33.5370824,-13.7962496,203,882,115,2340,1444,1194,SM,0.013026454
35.3787491,-15.8962496,218,1550,81,2531,516,691,SM,0.040504901
34.5537491,-14.4962496,212,913,117,2254,1509,835,SM,0.054710985
35.2870824,-15.9795829,217,1456,82,2574,357,720,SM,0.036017746
33.8787491,-12.4295829,207,1158,105,2129,194,1013,SM,0.109365143
35.3954158,-14.9045829,238,984,108,2417,1470,513,SM,0.03340914
33.7204158,-14.0045829,202,880,112,2540,2359,1095,SM,0.127401553
35.1954158,-16.2295829,219,1295,84,2640,1457,764,SM,0.030130456
34.3704158,-15.8045829,240,949,97,2505,245,483,SM,0.038274173
33.9704158,-13.4295829,186,931,118,2188,3059,1489,SM,0.170013935
34.5954158,-13.7462496,245,1152,118,2067,1297,508,SM,0.313754094
35.2537491,-14.4795829,242,856,113,2413,1855,483,SM,0.023802872
34.3120824,-14.3212496,179,1029,111,2351,6447,1594,SM,0.068615769
35.0537491,-15.7712496,201,1154,98,2112,3439,1263,SM,0.008629804
35.0870824,-15.1629162,236,991,106,2487,1183,518,SM,0.051485722
35.0620824,-15.7295829,215,1037,102,2323,3306,992,SM,0.093498016
35.5537491,-15.4379162,225,1337,93,2410,252,639,SM,0.117571647
34.1204158,-13.3045829,229,1003,119,2342,709,650,SM,0.272579398
34.8704158,-14.5462496,231,890,118,2281,240,624,SM,0.087735169
34.2120824,-14.0629162,191,905,114,2371,4670,1202,SM,0.165954445
35.2204158,-15.7879162,209,1280,92,2349,4181,923,SM,0.030846024
33.9370824,-11.3629163,187,1072,88,2694,593,1256,SM,0.085968955
35.2120824,-15.3879162,221,1127,103,2389,7270,708,SM,0.167170982
34.9620824,-14.9879162,230,965,110,2390,2475,630,SM,0.01458889
33.8704158,-14.3712496,191,929,109,2628,4771,1228,SM,0.133279627
33.4204158,-14.1379162,203,916,109,2493,2672,1169,SM,0.010370751
35.3787491,-16.0879162,223,1488,78,2653,4996,617,SM,0.01975296
35.1787491,-15.2129162,228,1072,104,2426,1996,586,SM,0.071593516
34.1287491,-13.7379162,208,886,121,2431,1566,979,SM,0.382813181
35.2120824,-16.0045829,211,1370,83,2536,2689,793,SM,0.027554062
33.6037491,-13.5629162,201,858,119,2264,1013,1202,SM,0.0287715
35.4120824,-15.9045829,218,1550,81,2531,3998,707,SM,0.025002802
33.5120824,-13.2379162,207,822,122,2278,512,1065,SM,0.126587251
34.0704158,-14.3129162,186,912,110,2531,1723,1251,SM,0.276134687
34.9704158,-15.6795829,219,982,102,2316,6473,766,SM,0.081648469
34.7204158,-16.1712496,259,780,98,2922,500,111,SM,0.026694682
33.6370824,-13.7379162,198,876,115,2284,1542,1262,SM,0.005652943
35.5620824,-15.5879162,222,1472,87,2432,3238,671,SM,0.028686171
35.1787491,-14.9795829,238,967,108,2448,3540,522,SM,0.015145506
34.90267,-15.37866,240,954,103,2547,829,477,SM,0.017149128
33.3787491,-14.1629162,203,944,110,2466,2763,1243,SM,0.00391071
33.3704158,-12.9962496,210,832,120,2332,3456,1030,SM,0.130014349
