"lng","lat","bioclim1","bioclim12","bioclim15","bioclim4","dist_to_water_m","elev_m","disease","theta"
121.2120821,14.0620836,259,2111,57,921,10698,216,"LF",0.00118723367646384
120.9454154,14.4537503,273,1855,88,1036,2031,5,"LF",0.00149593431164859
123.1704154,9.395417,253,2034,38,480,574,403,"LF",0.0192132238806772
123.7870821,8.1537503,269,2996,33,430,759,143,"LF",0.00660185874196513
121.3704154,13.995417,269,1935,54,1000,842,113,"LF",0.00266286396535732
121.1599608,13.3362338,273,1961,48,886,3613,10,"LF",0.000749850788123785
121.0037488,14.7287503,270,2503,89,1094,2515,30,"LF",0.00183710998339707
120.7954154,18.095417,264,2341,92,1352,1388,80,"LF",0.012398745827408
121.6120821,13.920417,271,2121,54,1071,544,8,"LF",0.00145455348115127
120.4620821,16.9620836,267,2412,110,1170,502,19,"LF",0.00765543666135258
121.0537488,17.345417,179,3730,49,961,1012,1160,"LF",0.234042297476418
125.6870821,7.4537503,269,2271,16,468,1965,8,"LF",0.00411082385702504
123.8454154,8.1537503,271,3059,34,427,3676,8,"LF",0.0019895867588622
122.3870821,16.745417,253,3073,57,1542,407,54,"LF",0.00423441236835958
125.1120821,6.0370837,266,1170,25,352,3470,117,"LF",0.00630836370557715
122.6454154,14.2620836,266,3277,57,1086,9500,10,"LF",0.000421959798329269
124.8370821,11.8370837,268,2791,30,821,15390,46,"LF",0.00020249091476853
121.0287488,14.6787503,270,2503,89,1094,372,37,"LF",0.00254956120851155
121.2120821,16.6537503,260,1903,44,1367,1011,236,"LF",0.0172746795903382
121.4537488,17.7287503,269,1790,60,1600,3742,40,"LF",0.00479056939887463
117.9120821,9.195417,268,1682,52,659,806,22,"LF",0.000391305546799184
125.0204154,10.970417,270,2936,35,725,3937,8,"LF",0.00106710263238659
125.6370821,7.195417,267,2027,24,403,3992,51,"LF",0.00410385847405657
125.0954154,7.9037503,252,2567,41,491,574,301,"LF",0.0226778922185635
120.3370821,16.0370836,275,1982,94,1064,1021,7,"LF",0.00447752148881291
123.9954154,12.8537503,271,3205,42,938,1255,10,"LF",0.00120638162201013
124.6870821,11.295417,270,2268,33,735,5997,5,"LF",0.000719177829265307
121.5870821,16.2120836,251,2580,37,1350,621,250,"LF",0.0147610395414932
125.5537487,9.5370837,265,3765,53,830,859,55,"LF",0.00345442678749759
121.8620821,13.4620836,269,2008,48,926,1795,44,"LF",0.001316739355943
121.0037488,16.8370836,214,2332,57,1049,3223,1099,"LF",0.222755057530495
123.4204154,10.4870837,274,1609,39,699,3544,4,"LF",0.00108391115306634
120.7620821,16.6287503,178,2756,72,830,2450,2369,"LF",0.24319882565934
121.8787488,17.3370836,268,1958,63,1672,2175,50,"LF",0.00466695201271774
124.7204154,7.9370837,197,2771,31,371,907,1377,"LF",0.238928644542719
123.0870821,11.4287503,276,2650,38,790,1416,19,"LF",0.0013290270274897
123.4120821,13.4370836,268,2517,45,1002,2906,34,"LF",0.00111382417392546
125.9787487,7.3287503,234,2416,17,364,139,395,"LF",0.0469933617860905
126.0454154,8.5370837,260,3915,39,706,614,73,"LF",0.00557851663593232
120.4454154,15.920417,274,1813,87,1078,306,16,"LF",0.00482279103216478
121.0037488,14.7537503,269,2641,86,1086,1539,32,"LF",0.00217277786298369
121.4152588,12.6532056,257,2713,71,719,2418,80,"LF",0.00116251079254777
122.9287488,9.7370837,265,2194,50,543,423,105,"LF",0.00306540002398353
124.3370821,7.9037503,232,2769,33,377,759,704,"LF",0.119227600388449
120.6454154,14.870417,274,2401,98,970,914,3,"LF",0.00225826556567213
